Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Clustering Coefficient
1264208004,1.0,1.0,1.0,0.7071084267845621,0
MKahraba,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
13AlyLotfy,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
percymuzitau22,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
Walid11Soliman,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
ALAHLI_FC,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
RCAofficiel,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
muhammedhany,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
MoamenZakaria,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
moiegy,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
aymanashraf,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
amrelsolia,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
Melshenawy,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
emysofficial,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
FRMFOFFICIEL,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
Alhilal_FC,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
fifacom_ar,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
Concrete,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
QFA,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
roadto2022,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
mjcc_gov,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
adidasMENA,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
QFA_EN,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
alahlystore,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
EtisalatEgypt,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
husseinelshahat,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
aliou8_dieng,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
ASRomaArabic,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
LuisMiquissone,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
sherifabdlfadil,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
FAFAlgeria,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
Ahly_Volleyball,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
mserageldin,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
LFC_Arabic,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
MoSalah,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
LFC,0.02857142857142857,0.0,0.5072463768115942,0.1195225827759593,0
